label,ble_id,C0,C1,C2,C3
8-302,15153,-4.5486654240731355,0.10505632106926181,0.6644694795971159,-0.4962083281482569
8-302,15153,-4.537433568389409,0.107029548436736,0.671463144803908,-0.4889005691063434
8-302,15153,-4.619178549346514,0.1966675431545762,0.5383559068086662,-0.26421730038464586
8-302,15153,-4.598514936071561,0.1956228787930586,0.533337930314126,-0.2687079736380634
8-302,15153,-4.591775822661326,0.19680681521354323,0.5375341294382016,-0.2643233182129153
8-302,15153,-4.601849290805987,0.18752217031890617,0.5603052511878716,-0.24437497002033912
8-302,15153,-4.592935352646366,0.16337580355408676,0.5408677337057343,-0.2380200065609875
8-302,15153,-4.624193705157705,0.22515924354445505,0.5659139996878905,-0.23398777487680808
8-302,15153,-4.602339440506411,0.22405438491568586,0.5606068839929511,-0.2387372037611378
8-302,15153,-4.567384378642888,0.15496424440936363,0.5325985692060816,-0.2432462996233534
8-302,15153,-4.558014359328154,0.16360052545416995,0.5114175968191631,-0.2618016179285535
8-302,15153,-4.605363632246776,0.15528214211806526,0.4819349385743922,-0.2926083774741238
8-302,15153,-4.677880514792329,0.3517182415424605,0.6400634948857132,-0.34430742793990154
8-302,15153,-4.670763419966412,0.35135843151198626,0.6383351710891606,-0.34585413455657654
8-302,15153,-4.679380115140517,0.3608071250887447,0.6243044075873151,-0.32217039012812976
8-302,15153,-4.663521200686635,0.3294613179442908,0.6115971931090055,-0.32421614149376665
8-302,15153,-4.671277959373602,0.32231196789844313,0.6291313823184431,-0.3088555406648047
8-302,15153,-4.675110017273316,0.3326923714701972,0.6374874748876814,-0.3115875080052467
8-302,15153,-4.654444998329982,0.3363228295241986,0.6503548253995922,-0.29814226945457045
8-302,15153,-4.686621421272037,0.330670032682383,0.6303197451826216,-0.3190771489893863
8-302,15153,-4.661726701078886,0.2814645778980131,0.6103724436323289,-0.32228849160557804
8-302,15153,-4.6664126686180225,0.2771455545027052,0.6209650951219982,-0.31300893557309595
8-302,15153,-4.655896856486436,0.2766139197871251,0.6184114227610628,-0.315294260779725
8-302,15153,-4.68095651160961,0.3261453753531313,0.6384908811205027,-0.3120616420629959
8-302,15153,-4.663604674209381,0.3291937692604449,0.6492952348192177,-0.30077205196978796
8-302,15153,-4.668819956205435,0.3243868804448565,0.6610844041088387,-0.2904443019153141
8-302,15153,-4.693078636004897,0.3201250832648544,0.6459794125870878,-0.30622767659900585
8-302,15153,-4.693508639663753,0.31972875191019706,0.6469514378645788,-0.3053761463625714
8-302,15153,-4.722231599967433,0.3211808625641897,0.6539265558044883,-0.2991339936529548
8-302,15153,-4.739225879869795,0.354770766963221,0.6675435004101059,-0.296941783623739
8-302,15153,-4.730778707567536,0.3318887907947173,0.6491238012423969,-0.29091958890414016
8-302,15153,-4.69524627256121,0.2929254662686479,0.7069820847426317,-0.3885836112011406
8-302,15153,-4.718286631248101,0.3384656980441937,0.7254435488196914,-0.38561147553665076
8-302,15153,-4.718650480497902,0.33813034074409903,0.7262660317467989,-0.3848909499519756
8-302,15153,-4.716261507100811,0.3380095644144537,0.7256858905975639,-0.3854101282193333
8-302,15153,-4.736109517845826,0.33452263944899713,0.7133272611706768,-0.39832379841508125
8-302,15153,-4.727969756398923,0.3184340607976362,0.7068051442370834,-0.3993738026978074
8-302,15153,-4.723306970842046,0.3227317175225838,0.696264895726492,-0.40860745177478397
8-302,15153,-4.775390439897689,0.4638171192475532,0.8098368458759032,-0.4457390244599311
8-302,15153,-4.776970566785009,0.46389700373938403,0.8102205657739413,-0.4453956269400745
8-302,15153,-4.798087994108359,0.46496461100816633,0.815348747013288,-0.44080632956985566
8-302,15153,-4.786966626591213,0.4348386875177165,0.7910977625809502,-0.43287763599762163
8-302,15153,-4.790701410098464,0.4313963637693112,0.7995402581277636,-0.4254816964109146
8-302,15153,-4.794890832880939,0.42753500219153134,0.8090104678778328,-0.4171854410209558
8-302,15153,-4.798003444002397,0.4276923625653721,0.809766338075184,-0.41650899981362965
8-302,15153,-4.808556609073305,0.4392645049012893,0.7925823759743987,-0.38750269758285083
8-302,15153,-4.792569791991385,0.44133494729030637,0.7827261500800372,-0.3961968395915403
8-302,15153,-4.793277915049661,0.44273458210666244,0.7832935452573503,-0.3961054938870332
8-302,15153,-4.818407251981027,0.5108057505662024,0.8380899682492183,-0.414020809777373
8-302,15153,-4.833512128001323,0.5406611692362499,0.8501929971050933,-0.41207232705895236
8-302,15153,-4.837167804473893,0.5372917578865476,0.8584566708308498,-0.40483304202752357
8-302,15153,-4.827786805832015,0.5389398242235478,0.8642978751388545,-0.3987295022761458
8-302,15153,-4.831519002652932,0.5391285082139566,0.8652042062664828,-0.39791841100100556
8-302,15153,-4.807960283579064,0.5656863575209309,0.9122417356829556,-0.38466750976305486
8-302,15153,-4.823070435324953,0.5955522038830788,0.9243489918002127,-0.3827183464921998
8-302,15153,-4.814638890793239,0.5727125607297378,0.9059633701701436,-0.3767072931905667
8-302,15153,-4.805993602711859,0.574231376455495,0.9113464744549543,-0.371082427280102
8-302,15153,-4.833842858653396,0.5716843953932057,0.9029792654845904,-0.3802030671328517
8-302,15153,-4.80859031869603,0.5221786969706516,0.8882436665397005,-0.3794586553437924
8-302,15153,-4.825091757077044,0.566878332099373,0.9242263030879688,-0.3912229323737946
8-302,15153,-4.831947178153647,0.5672249130185293,0.9258910817191225,-0.3897330934158165
8-302,15153,-4.887848492522844,0.663332308923009,0.9309698232751776,-0.33970320440768564
8-302,15153,-4.922839495807701,0.6983298355010754,0.972754043359137,-0.3450096573064002
8-302,15153,-4.917115841355509,0.6920535246922004,0.9820740019235686,-0.36074162489994455
8-302,15153,-4.835319501537681,0.5303796408644028,0.9165333473832818,-0.3712931020753242
8-302,15153,-4.836326747553697,0.5698554261296958,0.9217239167026624,-0.37772821186280703
8-302,15153,-4.8797192020960205,0.6147121940723432,0.9446312165533829,-0.3702545729733432
8-302,15153,-4.878297634136599,0.6160224432841613,0.9414177555472488,-0.3730696841373138
8-302,15153,-4.917773233075193,0.6172477948271888,0.9642688676368417,-0.38487682692507497
8-302,15153,-4.929517351415405,0.5680227354888572,0.9626050893456285,-0.3726204083834489
8-302,15153,-4.931145158135313,0.5665223974588551,0.9662847540322735,-0.369396885484223
8-302,15153,-4.9364102769997915,0.5722958980632605,0.9577114395417464,-0.3549252432766099
8-302,15153,-4.974041003031737,0.6298522988760625,1.0439215853197155,-0.42306561642214413
8-302,15153,-4.994950588705787,0.6309093985554423,1.0489992940450399,-0.41852148777063103
8-302,15153,-5.010413679594272,0.6281928221511429,1.0393709936304467,-0.42858220662584123
8-302,15153,-5.0550613394468895,0.7048573979653515,1.0882591061960916,-0.4604799562243028
8-302,15153,-5.0550613394468895,0.7048573979653515,1.0882591061960916,-0.4604799562243028
8-302,15153,-5.115518410323036,0.7424487192995907,1.0976441620399737,-0.46573539953615795
8-302,15153,-5.159186330822826,0.8287601890011452,1.1326337972527913,-0.4601023716100183
8-302,15153,-5.173191747313683,0.829468243264527,1.1360348892986125,-0.4570586759890447
8-302,15153,-5.154125298456075,0.7778204239982932,1.094459053079461,-0.44346574056364907
8-302,15153,-5.1535652778614525,0.778336591050204,1.0931931239119361,-0.4445747415210256
8-302,15153,-5.132504949625253,0.7016055962871288,1.0797225262363792,-0.41964756039067486
8-302,15153,-5.147471894637763,0.7023622613411695,1.0833571170152771,-0.4163949027475644
8-302,15153,-5.283923781067165,0.8519894718657687,0.8611693629880434,-0.0413448934719157
8-302,15153,-5.290326535753691,0.8508646273938992,0.8571826021232601,-0.04551070451606929
8-302,15153,-5.330101317203536,0.9294811450732986,0.8890527960246698,-0.040379879597027026
8-302,15153,-5.34078261601537,0.9300211460912701,0.8916466553684231,-0.03805859037002599
8-302,15153,-5.34324742238397,0.9295881256252848,0.8901119107076155,-0.039662262241700975
8-302,15153,-5.35953751485174,0.9617861741326382,0.9031646136187396,-0.03756089023359741
8-302,15153,-5.338362088314153,0.9352678492186389,0.8964318075058629,-0.053931830082298494
8-302,15153,-5.377118772373861,1.005717852636447,0.9173200268516161,-0.056397813309328894
8-302,15153,-5.4211380976760015,0.9811721677519163,0.9004774290840637,-0.06731203273343254
8-302,15153,-5.448579140445633,1.104132897941907,0.9771843306598785,-0.0768157373302255
8-302,15153,-5.469138773243067,1.100520954266393,0.964382600241621,-0.09019240871067745
8-302,15153,-5.4996521964186105,1.1608320102947953,0.9888319794148689,-0.08625627062801376
8-302,15153,-5.502929083617434,1.1609976757680975,0.9896277426107899,-0.08554412849186287
8-302,15153,-5.559599167617511,1.2231396278583928,0.8973505376999841,0.07021858088539047
8-302,15153,-5.557218752668818,1.2253336396111594,0.891969598600061,0.06550467842821929
8-302,15153,-5.573666458906764,1.2224440846707483,0.8817282142654549,0.05480334132385769
8-302,15153,-5.625040222064764,1.2264898294208382,0.7493541117033805,0.23246257215947033
8-302,15153,-5.635405580237083,1.2246688294903518,0.7428999827644979,0.22571858060194075
8-302,15153,-5.64687758006785,1.222653413279251,0.7357567885917836,0.2182545770701302
8-302,15153,-5.654330147024845,1.223030183353207,0.7375665788407871,0.21987418941274264
8-302,15153,-5.67397599480188,1.2072228302286496,0.7349079887314586,0.254441971096227
8-302,15153,-5.685190339964117,1.2052526791329146,0.7279252266851363,0.24714560488870765
8-302,15153,-5.681851173711271,1.208330365234325,0.7203770257880869,0.24053310062224412
8-302,15153,-5.737754456119409,1.2711871042392329,0.6256816620151308,0.3659467446921195
8-302,15153,-5.7698403182920375,1.3207866825463894,0.6833873889140855,0.37355366390127276
8-302,15153,-5.768960693163372,1.3209412162606642,0.6839350992685093,0.374125972580133
8-302,15153,-5.76557803695935,1.3172319424263776,0.6894431563887521,0.3648284445364197
8-302,15153,-5.770741611057429,1.3174929907612711,0.6906970848816641,0.36595060665713597
8-302,15153,-5.797351761868294,1.3341169519110287,0.6630161097587751,0.3374647814614019
8-302,15153,-5.83271829661498,1.361566626005031,0.6632663434451228,0.32664843581207614
8-302,15153,-5.826370747398868,1.3626817719063242,0.6672187298851883,0.33077832863515166
8-302,15153,-5.827479510544987,1.3627378262530983,0.6674879832500865,0.33101928809071246
8-302,15153,-5.813754749480015,1.3255597453084123,0.637560101952121,0.3408040042839796
8-302,15153,-5.848913484766634,1.3654738773616921,0.6721675355611744,0.3208935015253215
8-302,15153,-5.840771312845336,1.3650622437950763,0.6701902808201025,0.31912402233573467
8-302,15153,-5.835745692874283,1.3696943224532447,0.6588298434230698,0.3091718573388894
8-302,15153,-5.815510516577743,1.3148806161365074,0.6147055084798664,0.32359800699971586
8-302,15153,-5.782992061818174,1.2083227759115909,0.552935521196826,0.33758840029258363
8-302,15153,-5.774486915706511,1.207892791914401,0.5508701213704229,0.33574003855391565
8-302,15153,-5.75887286515754,1.1588712860649786,0.5263445026341541,0.32714768043440745
8-302,15153,-5.769855268399485,1.1805784650150717,0.5351443327794335,0.3285643767975487
8-302,15153,-5.786722931264021,1.1814312222759729,0.5392404961486282,0.33223010367046013
8-302,15153,-5.785581943242979,1.1824828629276602,0.5366612874025501,0.32997062103742525
8-302,15153,-6.008000685368378,1.5560085976343443,0.532395585866351,0.5554150103406602
8-302,15153,-6.0101164222984265,1.5617397749182798,0.537009110531769,0.5539066499909143
8-302,15153,-6.015168853208352,1.5608521571261298,0.5338631468317848,0.5506193973137682
8-302,15153,-6.020000737664379,1.5610964366440927,0.5350365274163927,0.5516694757294626
8-302,15153,-6.047008499772484,1.619535654268342,0.566202536687115,0.5493390325287905
8-302,15153,-6.049303725803292,1.6191324259019828,0.5647733834923631,0.5478456943616897
