label,id,timestamp,ble_id,place,proxi,detector,batt
8-303,395493082,1716275873,15158,8-303,0.446684,2,0
8-303,395493087,1716275876,15164,8-303,2.51189,1,0
8-303,395493090,1716275877,15159,8-320,28.1838,1,0
8-303,395493091,1716275878,15159,8-302,100.0,0,0
8-303,395493093,1716275878,15155,8-303,5.62341,1,0
8-303,395493094,1716275878,15159,8-303,10.0,1,0
8-303,395493096,1716275879,15155,8-303,22.3872,2,0
8-303,395493099,1716275880,15155,8-302,50.1187,0,0
8-303,395493100,1716275880,15158,8-302,28.1838,0,0
8-303,395493101,1716275880,15158,8-303,19.9526,0,0
8-303,395493109,1716275885,15164,8-303,1.99526,1,0
8-303,395493111,1716275885,15159,8-303,4.46684,2,0
8-303,395493114,1716275886,15159,8-320,12.5893,1,0
8-303,395493115,1716275886,15159,8-302,100.0,0,0
8-303,395493116,1716275887,15155,8-303,12.5893,0,0
8-303,395493117,1716275887,15159,8-303,25.1189,0,0
8-303,395493118,1716275887,15155,8-303,8.91251,2,0
8-303,395493120,1716275888,15158,8-320,31.6228,1,0
8-303,395493128,1716275892,15164,8-302,44.6684,0,0
8-303,395493133,1716275894,15159,8-303,3.16228,2,0
8-303,395493134,1716275895,15159,8-302,35.4813,1,0
8-303,395493135,1716275895,15159,8-303,10.0,1,0
8-303,395493136,1716275895,15155,8-303,12.5893,0,0
8-303,395493137,1716275895,15159,8-303,28.1838,0,0
8-303,395493140,1716275896,15158,8-303,0.446684,2,0
8-303,395493142,1716275896,15158,8-302,50.1187,0,0
8-303,395493143,1716275897,15158,8-302,7.94328,1,0
8-303,395493146,1716275899,15164,8-302,14.1254,1,0
8-303,395493147,1716275899,15164,8-303,3.54813,1,0
8-303,395493148,1716275899,15164,8-303,11.2202,0,0
8-303,395493151,1716275900,15164,8-303,14.1254,2,0
8-303,395493157,1716275903,15159,8-302,112.202,0,0
8-303,395493158,1716275903,15155,8-303,10.0,2,0
8-303,395493160,1716275903,15159,8-320,11.2202,1,0
8-303,395493161,1716275903,15158,8-303,7.07946,1,0
8-303,395493162,1716275903,15155,8-303,12.5893,0,0
8-303,395493168,1716275907,15164,8-303,7.07946,2,0
8-303,395493170,1716275908,15164,8-303,3.54813,1,0
8-303,395493171,1716275908,15164,8-303,11.2202,0,0
8-303,395493175,1716275910,15159,8-303,7.07946,1,0
8-303,395493178,1716275911,15155,8-303,8.91251,2,0
8-303,395493180,1716275911,15159,8-303,6.30957,2,0
8-303,395493181,1716275912,15158,8-303,19.9526,0,0
8-303,395493187,1716275915,15164,8-303,3.16228,2,0
8-303,395493188,1716275915,15164,8-302,8.91251,1,0
8-303,395493195,1716275918,15159,8-303,6.30957,2,0
8-303,395493198,1716275918,15155,8-303,3.98107,1,0
8-303,395493199,1716275918,15155,8-303,12.5893,0,0
8-303,395493200,1716275918,15159,8-303,31.6228,0,0
8-303,395493203,1716275920,15155,8-302,100.0,1,0
8-303,395493204,1716275920,15158,8-320,35.4813,1,0
8-303,395493205,1716275920,15158,8-302,7.94328,1,0
8-303,395493208,1716275920,15158,8-303,7.07946,1,0
8-303,395493210,1716275921,15158,8-303,6.30957,0,0
8-303,395493214,1716275923,15164,8-303,22.3872,0,0
8-303,395493220,1716275926,15159,8-302,17.7828,1,0
8-303,395493221,1716275926,15155,8-320,44.6684,1,0
8-303,395493222,1716275926,15159,8-320,63.0957,1,0
8-303,395493224,1716275926,15155,8-303,5.62341,2,0
8-303,395493225,1716275926,15159,8-303,6.30957,2,0
8-303,395493226,1716275927,15155,8-303,4.46684,1,0
8-303,395493228,1716275927,15155,8-303,22.3872,0,0
8-303,395493229,1716275927,15159,8-303,125.893,0,0
8-303,395493307,1716275963,15164,8-303,5.62341,0,0
8-303,395493310,1716275964,15164,8-303,3.98107,2,0
8-303,395493312,1716275964,15164,8-303,5.01187,1,0
8-303,395493313,1716275964,15164,8-302,12.5893,1,0
8-303,395493316,1716275966,15159,8-303,17.7828,2,0
8-303,395493321,1716275967,15155,8-320,14.1254,1,0
8-303,395493322,1716275967,15159,8-303,22.3872,0,0
8-303,395493323,1716275968,15158,8-303,1.99526,2,0
8-303,395493325,1716275969,15158,8-303,10.0,1,0
8-303,395493328,1716275971,15164,8-302,11.2202,1,0
8-303,395493330,1716275971,15164,8-303,5.01187,1,0
8-303,395493336,1716275975,15155,8-303,3.16228,2,0
8-303,395493337,1716275975,15155,8-302,35.4813,1,0
8-303,395493338,1716275975,15158,8-303,6.30957,1,0
8-303,395493339,1716275975,15158,8-302,14.1254,1,0
8-303,395493341,1716275975,15158,8-320,39.8107,1,0
8-303,395493342,1716275975,15155,8-303,12.5893,0,0
8-303,395493343,1716275975,15158,8-303,17.7828,0,0
8-303,395493345,1716275977,15158,8-303,1.25892,2,0
8-303,395493358,1716275982,15159,8-303,19.9526,0,0
8-303,395493359,1716275983,15155,8-303,3.54813,2,0
8-303,395493360,1716275983,15155,8-302,15.8489,1,0
8-303,395493361,1716275984,15158,8-320,63.0957,1,0
8-303,395493365,1716275987,15164,8-302,70.7946,0,0
8-303,395493368,1716275987,15164,8-303,5.62341,1,0
8-303,395493369,1716275987,15164,8-303,2.51189,2,0
8-303,395493376,1716275990,15159,8-303,4.46684,2,0
8-303,395493377,1716275990,15159,8-303,17.7828,1,0
8-303,395493379,1716275990,15155,8-303,8.91251,0,0
8-303,395493380,1716275990,15159,8-320,56.2341,1,0
8-303,395493381,1716275990,15159,8-303,22.3872,0,0
8-303,395493384,1716275992,15155,8-302,25.1189,1,0
8-303,395493387,1716275992,15158,8-303,1.25892,2,0
8-303,395493388,1716275992,15158,8-303,8.91251,1,0
8-303,395493391,1716275992,15158,8-303,25.1189,0,0
8-303,395493396,1716275996,15164,8-302,8.91251,1,0
8-303,395493399,1716275996,15164,8-303,5.62341,1,0
8-303,395493402,1716275996,15164,8-320,35.4813,1,0
8-303,395493404,1716275998,15159,8-302,56.2341,1,0
8-303,395493406,1716275998,15155,8-303,3.54813,2,0
8-303,395493408,1716275998,15159,8-303,4.46684,2,0
8-303,395493409,1716275998,15159,8-303,14.1254,1,0
8-303,395493410,1716275998,15155,8-303,28.1838,0,0
8-303,395493412,1716275998,15155,8-320,39.8107,1,0
8-303,395493413,1716275999,15159,8-303,22.3872,0,0
8-303,395493415,1716276000,15158,8-302,11.2202,1,0
8-303,395493416,1716276000,15158,8-303,3.16228,1,0
8-303,395493419,1716276001,15158,8-320,50.1187,1,0
8-303,395493420,1716276001,15158,8-303,10.0,0,0
8-303,395493425,1716276003,15164,8-303,5.62341,0,0
8-303,395493427,1716276003,15164,8-320,39.8107,1,0
8-303,395493428,1716276003,15164,8-302,125.893,0,0
8-303,395493437,1716276007,15155,8-303,6.30957,2,0
8-303,395493438,1716276007,15159,8-303,11.2202,2,0
8-303,395493441,1716276007,15155,8-303,12.5893,0,0
8-303,395493442,1716276007,15158,8-303,22.3872,0,0
8-303,395493445,1716276009,15158,8-302,63.0957,1,0
8-303,395493451,1716276011,15164,8-302,15.8489,1,0
8-303,395493452,1716276011,15164,8-303,5.01187,1,0
8-303,395493453,1716276011,15164,8-303,2.81838,2,0
8-303,395493455,1716276011,15164,8-320,44.6684,1,0
8-303,395493457,1716276011,15164,8-303,39.8107,0,0
8-303,395493460,1716276013,15159,8-303,22.3872,0,0
8-303,395493462,1716276015,15155,8-303,2.51189,1,0
8-303,395493464,1716276015,15158,8-303,1.25892,2,0
8-303,395493466,1716276015,15158,8-320,50.1187,1,0
8-303,395493467,1716276016,15158,8-303,22.3872,0,0
8-303,395493469,1716276016,15155,8-320,158.489,0,0
8-303,395493472,1716276020,15164,8-303,2.81838,2,0
8-303,395493473,1716276020,15164,8-303,6.30957,0,0
8-303,395493476,1716276021,15159,8-303,15.8489,1,0
8-303,395493479,1716276022,15159,8-303,11.2202,2,0
8-303,395493481,1716276022,15159,8-303,19.9526,0,0
8-303,395493483,1716276023,15158,8-302,12.5893,1,0
8-303,395493485,1716276023,15155,8-303,2.51189,1,0
8-303,395493486,1716276024,15158,8-303,3.16228,1,0
8-303,395493491,1716276024,15158,8-303,11.2202,0,0
8-303,395493495,1716276027,15164,8-302,15.8489,1,0
8-303,395493498,1716276028,15164,8-302,39.8107,0,0
8-303,395493503,1716276030,15159,8-303,14.1254,1,0
8-303,395493507,1716276030,15155,8-303,12.5893,0,0
8-303,395493508,1716276030,15155,8-303,7.94328,2,0
8-303,395493510,1716276032,15158,8-303,8.91251,1,0
8-303,395493511,1716276032,15158,8-302,79.4328,0,0
8-303,395493513,1716276032,15158,8-320,70.7946,1,0
8-303,395493522,1716276036,15164,8-320,44.6684,1,0
8-303,395493524,1716276036,15164,8-303,5.01187,1,0
8-303,395493528,1716276039,15155,8-303,7.94328,1,0
8-303,395493529,1716276039,15155,8-320,50.1187,1,0
8-303,395493530,1716276039,15159,8-303,17.7828,1,0
8-303,395493532,1716276039,15155,8-303,12.5893,0,0
8-303,395493533,1716276039,15155,8-303,2.81838,2,0
8-303,395493534,1716276039,15159,8-303,5.01187,2,0
8-303,395493537,1716276041,15158,8-320,35.4813,1,0
8-303,395493539,1716276041,15158,8-303,3.16228,1,0
8-303,395493545,1716276043,15164,8-303,6.30957,1,0
8-303,395493546,1716276043,15164,8-303,44.6684,0,0
8-303,395493548,1716276044,15164,8-302,70.7946,0,0
8-303,395493554,1716276045,15159,8-303,10.0,2,0
8-303,395493557,1716276047,15155,8-320,79.4328,0,0
8-303,395493559,1716276047,15155,8-320,39.8107,1,0
8-303,395493560,1716276047,15158,8-320,100.0,1,0
8-303,395493666,1716276083,15164,8-320,35.4813,1,0
8-303,395493668,1716276083,15164,8-303,7.07946,1,0
8-303,395493670,1716276083,15164,8-303,44.6684,0,0
8-303,395493671,1716276084,15164,8-302,70.7946,0,0
8-303,395493673,1716276085,15159,8-303,15.8489,1,0
8-303,395493674,1716276085,15159,8-303,19.9526,0,0
8-303,395493676,1716276086,15155,8-303,3.16228,2,0
8-303,395493677,1716276086,15159,8-303,12.5893,2,0
8-303,395493679,1716276087,15155,8-320,15.8489,1,0
8-303,395493680,1716276087,15159,8-320,50.1187,1,0
8-303,395493681,1716276087,15155,8-303,3.16228,1,0
8-303,395493682,1716276087,15158,8-303,11.2202,1,0
8-303,395493683,1716276088,15155,8-303,8.91251,0,0
8-303,395493684,1716276088,15158,8-303,28.1838,0,0
8-303,395493685,1716276088,15155,8-302,14.1254,1,0
8-303,395493688,1716276088,15158,8-303,1.99526,2,0
8-303,395493690,1716276092,15164,8-303,5.01187,1,0
8-303,395493691,1716276092,15164,8-303,56.2341,0,0
8-303,395493694,1716276092,15164,8-303,3.98107,2,0
8-303,395493696,1716276094,15159,8-303,15.8489,1,0
8-303,395493697,1716276094,15159,8-303,19.9526,0,0
8-303,395493700,1716276095,15155,8-303,2.81838,2,0
8-303,395493701,1716276095,15159,8-303,4.46684,2,0
8-303,395493703,1716276096,15158,8-320,56.2341,1,0
8-303,395493705,1716276096,15155,8-303,2.51189,1,0
8-303,395493707,1716276096,15158,8-303,8.91251,0,0
