label,id,timestamp,ble_id,place,proxi,detector,batt
8-303,399275366,1717578481,15162,8-322,1.12202,1,0
8-303,399275367,1717578481,15155,8-322,2.51189,1,0
8-303,399275368,1717578481,15155,8-302,89.1251,0,0
8-303,399275370,1717578481,15162,8-302,31.6228,0,0
8-303,399275371,1717578481,15160,8-302,177.828,0,2925
8-303,399275372,1717578481,15155,8-322,25.1189,0,0
8-303,399275374,1717578481,15162,8-322,31.6228,0,0
8-303,399275375,1717578481,15155,8-320,70.7946,1,0
8-303,399275376,1717578481,15160,8-322,112.202,0,2925
8-303,399275377,1717578481,15155,8-303,15.8489,0,0
8-303,399275378,1717578481,15162,8-303,14.1254,0,0
8-303,399275379,1717578481,15160,8-303,89.1251,0,2925
8-303,399275381,1717578482,15155,8-302,15.8489,1,0
8-303,399275382,1717578482,15155,8-303,14.1254,1,0
8-303,399275384,1717578482,15162,8-303,6.30957,1,0
8-303,399275385,1717578482,15162,8-302,10.0,1,0
8-303,399275389,1717578483,15163,8-322,3.54813,1,0
8-303,399275390,1717578483,15163,8-302,70.7946,0,0
8-303,399275391,1717578484,15163,8-303,8.91251,0,0
8-303,399275393,1717578484,15153,8-302,3.54813,1,0
8-303,399275394,1717578484,15153,8-303,8.91251,1,0
8-303,399275395,1717578484,15161,8-302,89.1251,1,2884
8-303,399275396,1717578484,15161,8-303,100.0,1,2884
8-303,399275398,1717578485,15153,8-417,8.91251,0,0
8-303,399275399,1717578485,15161,8-322,10.0,1,2884
8-303,399275400,1717578485,15153,8-322,1.12202,1,0
8-303,399275402,1717578485,15153,8-302,28.1838,0,0
8-303,399275403,1717578485,15164,8-302,22.3872,0,0
8-303,399275405,1717578485,15153,8-320,28.1838,1,0
8-303,399275407,1717578485,15164,8-320,50.1187,1,0
8-303,399275408,1717578485,15153,8-322,7.07946,0,0
8-303,399275409,1717578486,15161,8-322,70.7946,0,2884
8-303,399275410,1717578486,15153,8-303,25.1189,0,0
8-303,399275411,1717578486,15161,8-303,100.0,0,2884
8-303,399275418,1717578489,15162,8-302,6.30957,1,0
8-303,399275421,1717578489,15155,8-303,14.1254,1,0
8-303,399275422,1717578489,15070,8-303,79.4328,1,2833
8-303,399275424,1717578489,15162,8-322,1.0,1,0
8-303,399275425,1717578489,15070,8-322,8.91251,1,2833
8-303,399275426,1717578489,15162,8-302,22.3872,0,0
8-303,399275428,1717578490,15155,8-320,63.0957,1,0
8-303,399275430,1717578490,15155,8-322,19.9526,0,0
8-303,399275432,1717578490,15162,8-303,12.5893,0,0
8-303,399275433,1717578490,15070,8-303,56.2341,0,2833
8-303,399275437,1717578491,15070,8-303,89.1251,1,2833
8-303,399275439,1717578491,15163,8-322,1.77828,1,0
8-303,399275442,1717578492,15163,8-322,31.6228,0,0
8-303,399275445,1717578493,15070,8-303,70.7946,0,2833
8-303,399275446,1717578493,15163,8-303,31.6228,0,0
8-303,399275448,1717578493,15153,8-302,5.01187,1,0
8-303,399275449,1717578493,15164,8-417,7.94328,0,0
8-303,399275450,1717578493,15158,8-303,158.489,0,2903
8-303,399275452,1717578493,15153,8-303,3.16228,1,0
8-303,399275453,1717578493,15164,8-303,3.54813,1,0
8-303,399275454,1717578493,15158,8-303,56.2341,1,2903
8-303,399275455,1717578493,15153,8-322,1.41254,1,0
8-303,399275457,1717578494,15153,8-302,70.7946,0,0
8-303,399275458,1717578494,15164,8-302,11.2202,0,0
8-303,399275460,1717578494,15153,8-320,50.1187,1,0
8-303,399275461,1717578494,15164,8-320,39.8107,1,0
8-303,399275463,1717578494,15153,8-322,7.94328,0,0
8-303,399275474,1717578497,15155,8-303,70.7946,0,0
8-303,399275475,1717578498,15155,8-303,7.07946,1,0
8-303,399275477,1717578498,15162,8-302,19.9526,0,0
8-303,399275479,1717578498,15162,8-320,63.0957,1,0
8-303,399275481,1717578498,15162,8-322,17.7828,0,0
8-303,399275485,1717578499,15163,8-302,25.1189,1,0
8-303,399275487,1717578499,15163,8-303,8.91251,0,0
8-303,399275490,1717578500,15163,8-322,1.99526,1,0
8-303,399275491,1717578500,15153,8-320,31.6228,1,0
8-303,399275492,1717578500,15153,8-322,11.2202,0,0
8-303,399275493,1717578500,15163,8-322,31.6228,0,0
8-303,399275496,1717578501,15164,8-417,7.94328,0,0
8-303,399275497,1717578501,15153,8-302,5.62341,1,0
8-303,399275498,1717578501,15164,8-302,3.98107,1,0
8-303,399275500,1717578501,15153,8-303,25.1189,0,0
8-303,399275501,1717578502,15153,8-322,1.41254,1,0
8-303,399275503,1717578502,15153,8-302,70.7946,0,0
8-303,399275504,1717578502,15164,8-322,0.794328,1,0
8-303,399275505,1717578502,15153,8-303,5.62341,1,0
8-303,399275506,1717578502,15164,8-302,11.2202,0,0
8-303,399275508,1717578502,15164,8-303,7.07946,1,0
8-303,399275509,1717578505,15155,8-322,22.3872,0,0
